Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Total_Income,Log_Income
0,0,0,0,0,4166,0.0,44.0,360.0,1.0,1,4166.0,8.334951631422454
1,1,0,0,0,3246,1417.0,138.0,360.0,1.0,1,4663.0,8.085486772102845
1,0,0,0,0,6277,0.0,118.0,360.0,0.0,0,6277.0,8.744806737401898
1,1,0,0,0,3232,1950.0,108.0,360.0,1.0,0,5182.0,8.081165777725433
1,1,2,0,0,5935,0.0,133.0,360.0,1.0,1,5935.0,8.688790784847216
1,1,2,0,0,5819,5000.0,120.0,360.0,1.0,0,10819.0,8.669055540725484
0,0,0,0,0,645,3683.0,113.0,480.0,1.0,0,4328.0,6.470799503782602
1,0,0,0,0,3333,0.0,70.0,360.0,1.0,2,3333.0,8.111928063310739
1,1,0,0,0,3333,2500.0,128.0,360.0,1.0,1,5833.0,8.111928063310739
1,1,0,0,0,3597,2157.0,119.0,360.0,0.0,0,5754.0,8.188133414510478
0,1,0,0,0,2929,2333.0,139.0,360.0,1.0,1,5262.0,7.982757702011113
0,0,0,0,0,3180,0.0,71.0,360.0,0.0,2,3180.0,8.064950891749143
1,1,1,0,1,2178,0.0,66.0,300.0,0.0,0,2178.0,7.68662133494462
1,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0,5282.0,8.121480374750751
0,1,0,0,0,2484,2302.0,137.0,360.0,1.0,1,4786.0,7.818027938530729
1,1,0,1,1,4735,0.0,138.0,360.0,1.0,2,4735.0,8.462948176563842
1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,4693.0,7.5251007461258
1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,1442.0,7.274479558773871
1,1,0,0,0,3927,800.0,112.0,360.0,1.0,1,4727.0,8.275885669474356
1,0,0,1,0,2550,2042.0,126.0,360.0,1.0,0,4592.0,7.844240718141811
1,1,3,0,1,5677,1424.0,100.0,360.0,1.0,0,7101.0,8.644354337032917
1,0,0,0,0,6000,0.0,140.0,360.0,1.0,0,6000.0,8.699681400989514
1,1,0,0,0,2583,2115.0,120.0,360.0,1.0,2,4698.0,7.857093864902493
1,0,0,0,0,2479,0.0,59.0,360.0,1.0,2,2479.0,7.8160138391590275
1,1,0,0,0,2297,1522.0,104.0,360.0,1.0,2,3819.0,7.739794458408701
1,1,2,1,0,4652,0.0,110.0,360.0,1.0,0,4652.0,8.445267451844648
1,1,2,1,0,3333,2000.0,99.0,360.0,1.0,1,5333.0,8.111928063310739
0,0,0,0,0,2137,8980.0,137.0,360.0,0.0,1,11117.0,7.6676260915849905
0,0,1,1,0,4606,0.0,81.0,360.0,1.0,0,4606.0,8.435332164935916
1,0,3,1,0,4707,1993.0,148.0,360.0,1.0,1,6700.0,8.457018468380168
1,0,0,0,0,3069,0.0,71.0,480.0,1.0,2,3069.0,8.029432840581244
1,0,0,0,1,6050,4333.0,120.0,180.0,1.0,2,10383.0,8.707978826622321
1,0,0,1,0,2333,1451.0,102.0,480.0,0.0,2,3784.0,7.755338812846501
1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,5052.0,7.937374696163295
0,0,2,0,0,3427,0.0,138.0,360.0,1.0,2,3427.0,8.13973227971767
1,1,0,0,0,1828,1330.0,100.0,360.0,0.0,2,3158.0,7.511524648390866
1,0,0,0,0,3858,0.0,76.0,360.0,1.0,1,3858.0,8.258163361537619
1,0,1,1,0,2679,1302.0,94.0,360.0,1.0,1,3981.0,7.893572073504902
1,1,2,1,0,2309,1255.0,125.0,360.0,0.0,0,3564.0,7.745002803515839
1,0,0,1,0,2755,0.0,65.0,300.0,1.0,0,2755.0,7.9215356321335495
1,1,0,0,0,3013,3033.0,95.0,300.0,1.0,2,6046.0,8.01102337918644
0,0,0,0,1,3463,0.0,122.0,360.0,1.0,2,3463.0,8.150179269682326
0,0,1,0,0,2876,1560.0,90.0,360.0,1.0,2,4436.0,7.964503363551548
1,1,0,0,0,2333,2417.0,136.0,360.0,1.0,2,4750.0,7.755338812846501
1,1,3,0,0,5703,0.0,128.0,360.0,1.0,2,5703.0,8.648922962094131
1,0,0,1,0,2699,2785.0,96.0,360.0,1.0,1,5484.0,7.90100705199242
1,1,0,1,0,3000,1666.0,100.0,480.0,0.0,2,4666.0,8.006700845440367
1,1,0,0,0,2130,6666.0,70.0,180.0,1.0,1,8796.0,7.664346632098617
1,1,3,0,0,4281,0.0,100.0,360.0,1.0,2,4281.0,8.362175469149628
1,0,0,0,0,3750,0.0,100.0,360.0,1.0,2,3750.0,8.229777750081887
0,1,0,0,0,3416,2816.0,113.0,360.0,1.0,1,6232.0,8.136518252115291
1,1,0,0,0,3704,2000.0,120.0,360.0,1.0,0,5704.0,8.217438537730187
1,0,1,0,0,3062,1987.0,111.0,180.0,0.0,2,5049.0,8.027150106832774
1,1,1,0,0,2491,2054.0,104.0,360.0,1.0,1,4545.0,7.820840879907344
1,1,0,0,0,4301,0.0,118.0,360.0,1.0,2,4301.0,8.366835309827675
0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,1,6275.0,8.294299608857235
1,1,0,0,0,2425,2340.0,143.0,360.0,1.0,1,4765.0,7.793999089503996
0,0,0,0,0,3237,0.0,30.0,360.0,1.0,2,3237.0,8.08271113423758
1,1,0,0,0,3075,2416.0,139.0,360.0,1.0,0,5491.0,8.031385330625534
0,0,0,0,0,3762,1666.0,135.0,360.0,1.0,0,5428.0,8.232971790593437
1,0,0,0,0,2366,2531.0,136.0,360.0,1.0,1,4897.0,7.769378609513984
1,1,0,0,0,4600,0.0,73.0,180.0,1.0,1,4600.0,8.434028950155469
1,1,2,0,0,9703,0.0,112.0,360.0,1.0,2,9703.0,9.180293450623886
1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,2,4340.0,7.824445930877619
1,0,0,1,0,2717,0.0,60.0,180.0,1.0,2,2717.0,7.907651594711089
0,0,1,1,1,3867,0.0,62.0,360.0,1.0,1,3867.0,8.260492856573185
1,0,1,1,0,3596,0.0,100.0,240.0,1.0,2,3596.0,8.187855443695623
